date_and_time,event,file
"15-08-2022, 10:13:21",created,F:\New Text Document.txt
"15-08-2022, 10:13:26",created,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$I47TZ7C.txt
"15-08-2022, 10:13:26",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002
"15-08-2022, 10:13:26",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$I47TZ7C.txt
"15-08-2022, 10:13:26",deleted,F:\New Text Document.txt
"15-08-2022, 10:13:26",created,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$R47TZ7C.txt
"15-08-2022, 10:13:26",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002
"15-08-2022, 10:13:26",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$R47TZ7C.txt
"15-08-2022, 14:57:53",created,F:\davidson_shlav_bet\project\user_side\.idea\workspace.xml.tmp
"15-08-2022, 14:57:53",modified,F:\davidson_shlav_bet\project\user_side\.idea
"15-08-2022, 14:57:53",modified,F:\davidson_shlav_bet\project\user_side\.idea\workspace.xml.tmp
"15-08-2022, 14:57:53",moved,F:\davidson_shlav_bet\project\user_side\.idea\workspace.xml
"15-08-2022, 14:57:53",modified,F:\davidson_shlav_bet\project\user_side\.idea
"15-08-2022, 14:57:53",moved,F:\davidson_shlav_bet\project\user_side\.idea\workspace.xml.tmp
"15-08-2022, 14:57:53",modified,F:\davidson_shlav_bet\project\user_side\.idea
"15-08-2022, 14:57:53",deleted,F:\davidson_shlav_bet\project\user_side\.idea\workspace.xml~
"15-08-2022, 14:57:53",modified,F:\davidson_shlav_bet\project\user_side\.idea
"15-08-2022, 14:57:59",modified,F:\python_projects
"15-08-2022, 14:57:59",modified,F:\to delete
"15-08-2022, 14:57:59",modified,F:\to_del
"15-08-2022, 14:57:59",modified,F:\10 - תבנית תיק פרויקט - תכנות בסביבת.doc
"15-08-2022, 14:58:06",created,F:\New Text Document.txt
"15-08-2022, 14:58:06",modified,F:\$RECYCLE.BIN
"15-08-2022, 14:58:06",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002
"15-08-2022, 14:58:06",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\desktop.ini
"15-08-2022, 14:58:09",created,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$II85E2W.txt
"15-08-2022, 14:58:09",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002
"15-08-2022, 14:58:09",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$II85E2W.txt
"15-08-2022, 14:58:09",deleted,F:\New Text Document.txt
"15-08-2022, 14:58:09",created,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$RI85E2W.txt
"15-08-2022, 14:58:09",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002
"15-08-2022, 14:58:09",modified,F:\$RECYCLE.BIN\S-1-5-21-33777700-3022529163-1192261204-1002\$RI85E2W.txt
"24-08-2022, 17:23:59",modified,F:\davidson_shlav_bet\project\user_side
